epsilon,f1,acc,uuc_acc,inner,outer,half,auroc
[],"[0.7608981886765595, 0.5371120107962213, 0.7917874396135266, 0.47222222222222215, 0.6085948043184884]","[0.7872340425531915, 0.6875, 0.7959183673469388, 0.6470588235294118, 0.7083333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7872340425531915, 0.6875, 0.7959183673469388, 0.6470588235294118, 0.7083333333333334]","[0.5652173913043478, 0.34782608695652173, 0.5833333333333334, 0.25, 0.391304347826087]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.7018518518518518, 0.5371120107962213, 0.76615333664514, 0.47222222222222215, 0.6085948043184884]","[0.7446808510638298, 0.6875, 0.7755102040816326, 0.6470588235294118, 0.7083333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7446808510638298, 0.6875, 0.7755102040816326, 0.6470588235294118, 0.7083333333333334]","[0.4782608695652174, 0.34782608695652173, 0.5416666666666666, 0.25, 0.391304347826087]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.7018518518518518, 0.5371120107962213, 0.6755570818070818, 0.44265377383830246, 0.5575798470535313]","[0.7446808510638298, 0.6875, 0.7142857142857143, 0.6274509803921569, 0.6875]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7446808510638298, 0.6875, 0.7142857142857143, 0.6274509803921569, 0.6875]","[0.4782608695652174, 0.34782608695652173, 0.4166666666666667, 0.20833333333333334, 0.34782608695652173]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.6371494834492936, 0.5371120107962213, 0.5639077340569877, 0.44265377383830246, 0.5303030303030303]","[0.7021276595744681, 0.6875, 0.6530612244897959, 0.6274509803921569, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7021276595744681, 0.6875, 0.6530612244897959, 0.6274509803921569, 0.6666666666666666]","[0.391304347826087, 0.34782608695652173, 0.2916666666666667, 0.20833333333333334, 0.30434782608695654]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.6011904761904762, 0.5117845117845118, 0.49743814961206273, 0.44265377383830246, 0.5303030303030303]","[0.6808510638297872, 0.6666666666666666, 0.6122448979591837, 0.6274509803921569, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6808510638297872, 0.6666666666666666, 0.6122448979591837, 0.6274509803921569, 0.6666666666666666]","[0.34782608695652173, 0.30434782608695654, 0.20833333333333334, 0.20833333333333334, 0.30434782608695654]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.4805194805194805, 0.5117845117845118, 0.49743814961206273, 0.44265377383830246, 0.44117647058823534]","[0.6170212765957447, 0.6666666666666666, 0.6122448979591837, 0.6274509803921569, 0.625]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6170212765957447, 0.6666666666666666, 0.6122448979591837, 0.6274509803921569, 0.625]","[0.21739130434782608, 0.30434782608695654, 0.20833333333333334, 0.20833333333333334, 0.21739130434782608]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.44027117161445517, 0.4534313725490196, 0.49743814961206273, 0.37333333333333335, 0.40821256038647347]","[0.5957446808510638, 0.625, 0.6122448979591837, 0.5882352941176471, 0.6041666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5957446808510638, 0.625, 0.6122448979591837, 0.5882352941176471, 0.6041666666666666]","[0.17391304347826086, 0.21739130434782608, 0.20833333333333334, 0.125, 0.17391304347826086]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.39402427637721754, 0.4534313725490196, 0.45912910618792974, 0.33208020050125314, 0.37142857142857144]","[0.574468085106383, 0.625, 0.5918367346938775, 0.5686274509803921, 0.5833333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.574468085106383, 0.625, 0.5918367346938775, 0.5686274509803921, 0.5833333333333334]","[0.13043478260869565, 0.21739130434782608, 0.16666666666666666, 0.08333333333333333, 0.13043478260869565]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.3401091661961227, 0.4534313725490196, 0.36481481481481487, 0.28504828504828505, 0.37142857142857144]","[0.5531914893617021, 0.625, 0.5510204081632653, 0.5490196078431373, 0.5833333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5531914893617021, 0.625, 0.5510204081632653, 0.5490196078431373, 0.5833333333333334]","[0.08695652173913043, 0.21739130434782608, 0.08333333333333333, 0.041666666666666664, 0.13043478260869565]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.3401091661961227, 0.3373058866016612, 0.3023845763571791, 0.28504828504828505, 0.37142857142857144]","[0.5531914893617021, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5833333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5531914893617021, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5833333333333334]","[0.08695652173913043, 0.08695652173913043, 0.041666666666666664, 0.041666666666666664, 0.13043478260869565]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
