y,x,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,class
60,1000,198.92,108.98,151.19,187.17,177.7336,3.6396,9.0539,196.0011,2.0,2.0,5.0,6.0,4.0,3.0,18.0,6.0,5.0,13.0,2.0,5.0,11.0,6.0,7.0,5.0,61.405771,200.426914,106.522346,158.260123,187.790741,356.804165,7.569501,36.484558,379.074853,350.0,407.0,321.0,1124.0,390.0,126.0,605.0,471.0,315.0,651.0,102.0,547.0,1158.0,464.0,514.0,555.0,62.026512,1
60,1060,182.15,107.97,151.03,169.09,474.9275,2.4091,30.2891,507.2419,4.0,8.0,4.0,10.0,2.0,3.0,10.0,5.0,5.0,11.0,1.0,9.0,14.0,4.0,5.0,5.0,43.325771,197.601975,105.784938,157.764321,184.462469,276.180342,5.867823,29.249023,303.209085,376.0,402.0,339.0,1139.0,379.0,112.0,617.0,460.0,336.0,662.0,107.0,539.0,1132.0,471.0,463.0,566.0,58.69824,1
60,1090,204.91,103.82,162.47,191.3,72.2619,1.0876,2.1291,82.09,5.0,7.0,5.0,14.0,6.0,2.0,3.0,8.0,0.0,7.0,0.0,8.0,13.0,7.0,9.0,6.0,65.535771,196.091358,105.280494,158.795926,182.636296,315.82795,5.687496,34.195514,340.329695,361.0,426.0,356.0,1074.0,388.0,105.0,619.0,467.0,370.0,673.0,104.0,515.0,1060.0,492.0,499.0,591.0,56.872067,1
60,1140,198.5,102.72,159.88,184.29,100.55,2.7016,10.3656,117.0259,8.0,6.0,3.0,16.0,1.0,1.0,6.0,6.0,4.0,6.0,1.0,9.0,14.0,7.0,5.0,7.0,58.525771,193.758148,106.258642,157.931605,180.547901,409.119903,9.48508,44.938285,432.044002,359.0,427.0,349.0,1047.0,408.0,111.0,651.0,439.0,377.0,679.0,103.0,516.0,1079.0,487.0,505.0,563.0,54.783672,1
60,1150,189.1,106.36,152.81,175.88,251.25,2.3904,2.5139,281.2856,6.0,5.0,4.0,10.0,7.0,1.0,4.0,3.0,7.0,15.0,0.0,5.0,12.0,8.0,6.0,7.0,50.115771,192.414815,106.374444,157.762222,179.18963,478.994102,13.1651,55.104202,496.305275,356.0,427.0,352.0,1020.0,412.0,113.0,693.0,439.0,368.0,681.0,105.0,519.0,1080.0,477.0,513.0,545.0,53.425401,1
60,1160,188.25,107.59,151.95,175.32,246.5675,1.4219,1.8075,280.5376,2.0,5.0,4.0,12.0,5.0,0.0,5.0,6.0,4.0,13.0,1.0,8.0,18.0,8.0,4.0,5.0,49.555771,191.622222,106.495185,157.221481,178.460988,568.827407,17.51936,61.653168,573.831688,354.0,435.0,354.0,1035.0,402.0,114.0,698.0,446.0,369.0,683.0,112.0,534.0,1062.0,479.0,491.0,532.0,52.696759,1
60,1390,194.58,105.52,161.92,180.94,165.6236,1.3096,2.0536,194.5964,4.0,2.0,4.0,5.0,6.0,0.0,5.0,8.0,5.0,7.0,0.0,7.0,26.0,8.0,3.0,10.0,55.175771,185.429383,105.552469,158.693827,171.696173,945.08847,12.598111,66.862554,954.48238,365.0,400.0,364.0,1113.0,410.0,108.0,668.0,460.0,342.0,669.0,105.0,491.0,1148.0,462.0,485.0,510.0,45.931944,1
60,1550,206.93,101.02,163.83,192.65,125.1051,1.1196,7.2811,143.6075,6.0,6.0,5.0,10.0,4.0,1.0,4.0,5.0,7.0,2.0,2.0,2.0,24.0,5.0,8.0,9.0,66.885771,189.223951,105.767037,159.15321,175.874691,1060.125896,14.011284,65.918625,1069.150594,380.0,380.0,369.0,1026.0,383.0,120.0,757.0,450.0,355.0,605.0,125.0,473.0,1165.0,452.0,532.0,528.0,50.110463,1
60,1570,142.95,108.28,146.3,128.85,472.9875,6.0216,7.47,473.9075,8.0,5.0,4.0,15.0,5.0,1.0,3.0,5.0,5.0,11.0,3.0,8.0,11.0,10.0,2.0,4.0,3.085771,196.342099,105.10963,159.692099,183.049753,717.559882,8.041562,52.976061,751.219623,386.0,380.0,362.0,1060.0,392.0,117.0,698.0,443.0,347.0,652.0,128.0,516.0,1129.0,434.0,517.0,539.0,57.285524,1
60,2050,135.76,119.05,145.51,125.54,1826.5424,47.4475,93.3099,1712.2084,3.0,1.0,7.0,8.0,7.0,0.0,27.0,6.0,2.0,2.0,0.0,0.0,19.0,3.0,12.0,3.0,-0.224229,170.317037,109.84679,153.379259,158.015309,1957.919241,34.387761,97.794187,1934.261988,327.0,367.0,360.0,1090.0,381.0,94.0,805.0,404.0,372.0,805.0,104.0,467.0,1107.0,452.0,489.0,476.0,32.25108,1
60,2120,204.64,103.78,169.26,190.78,318.6504,2.3316,11.6124,369.6516,7.0,2.0,4.0,17.0,6.0,0.0,7.0,3.0,3.0,2.0,0.0,4.0,26.0,5.0,9.0,5.0,65.015771,169.081728,108.974568,155.390247,156.31716,1899.319987,34.990958,107.568818,1855.138298,336.0,396.0,336.0,1081.0,348.0,99.0,752.0,392.0,378.0,785.0,108.0,508.0,1157.0,486.0,484.0,454.0,30.552932,1
60,2160,199.8,104.76,161.35,186.41,164.24,0.7424,5.1075,190.9819,6.0,9.0,4.0,10.0,7.0,1.0,11.0,7.0,3.0,10.0,3.0,5.0,11.0,2.0,6.0,5.0,60.645771,173.093704,108.218395,157.065679,160.12284,1815.998257,35.900081,129.162847,1752.669231,381.0,360.0,328.0,1021.0,386.0,101.0,738.0,429.0,387.0,728.0,120.0,458.0,1148.0,490.0,527.0,498.0,34.358611,1
70,100,171.31,101.68,158.02,154.89,15.2339,0.6576,1.4996,19.0979,2.0,3.0,4.0,6.0,6.0,3.0,13.0,11.0,1.0,2.0,0.0,4.0,14.0,8.0,10.0,13.0,29.125771,163.503951,101.054691,161.318765,146.580617,250.505046,6.355157,30.951969,243.838809,288.0,382.0,294.0,1112.0,398.0,128.0,537.0,567.0,254.0,484.0,89.0,606.0,1133.0,509.0,583.0,736.0,20.816388,1
70,360,206.92,101.19,168.44,192.28,26.0136,0.6739,1.9464,32.0816,5.0,5.0,1.0,14.0,8.0,2.0,5.0,11.0,1.0,6.0,0.0,9.0,19.0,5.0,2.0,7.0,66.515771,185.944938,101.705556,165.278642,170.259259,396.60166,6.960093,44.612606,410.755254,295.0,382.0,268.0,1210.0,351.0,137.0,473.0,489.0,281.0,581.0,91.0,593.0,1203.0,548.0,514.0,684.0,44.49503,1
70,560,198.51,101.24,168.15,183.26,33.1699,1.8424,5.5075,41.1324,8.0,5.0,3.0,15.0,2.0,3.0,8.0,7.0,4.0,8.0,3.0,10.0,11.0,5.0,3.0,5.0,57.495771,189.439259,103.411852,161.754568,174.732593,288.349027,5.407909,32.626924,297.873925,302.0,372.0,299.0,1279.0,337.0,108.0,543.0,498.0,290.0,522.0,103.0,551.0,1225.0,516.0,471.0,684.0,48.968364,1
70,690,197.36,101.55,172.77,181.8,93.3304,1.3875,6.5171,104.96,5.0,7.0,4.0,16.0,4.0,3.0,6.0,7.0,4.0,9.0,1.0,7.0,10.0,5.0,4.0,8.0,56.035771,194.738765,103.664815,161.813086,180.44716,210.316695,4.94654,28.268767,222.756344,346.0,377.0,301.0,1092.0,385.0,100.0,554.0,497.0,297.0,520.0,100.0,522.0,1228.0,528.0,549.0,704.0,54.682932,1
70,770,203.47,103.1,168.75,189.09,87.5691,3.59,12.4875,92.3019,8.0,5.0,6.0,15.0,7.0,2.0,7.0,9.0,3.0,1.0,1.0,5.0,10.0,5.0,9.0,7.0,63.325771,200.051111,103.746914,162.011852,186.231235,327.614672,6.91175,50.817143,346.687889,326.0,384.0,319.0,1159.0,399.0,108.0,512.0,501.0,349.0,532.0,89.0,549.0,1238.0,497.0,502.0,636.0,60.467006,1
70,860,188.17,108.27,160.81,175.05,468.6811,8.2971,104.4939,472.6075,4.0,6.0,3.0,21.0,4.0,2.0,16.0,8.0,1.0,6.0,2.0,7.0,4.0,1.0,6.0,9.0,49.285771,200.71358,104.70679,160.297778,187.324691,238.747593,4.479584,33.454538,262.032847,317.0,448.0,326.0,1138.0,373.0,101.0,604.0,476.0,316.0,599.0,87.0,569.0,1196.0,487.0,485.0,578.0,61.560463,1
70,980,192.05,108.08,152.95,179.49,164.6075,1.3536,4.0475,184.6299,2.0,8.0,6.0,16.0,3.0,2.0,5.0,12.0,3.0,8.0,1.0,7.0,7.0,6.0,9.0,5.0,53.725771,201.576049,106.29284,158.739383,188.911728,330.479525,8.074245,43.435412,348.89727,330.0,414.0,335.0,1161.0,380.0,103.0,600.0,472.0,304.0,641.0,108.0,532.0,1152.0,487.0,508.0,573.0,63.1475,1
70,1200,202.28,100.58,165.5,187.35,82.4816,0.6836,1.79,97.9675,4.0,5.0,5.0,13.0,6.0,2.0,8.0,7.0,9.0,7.0,0.0,7.0,12.0,8.0,3.0,4.0,61.585771,187.850617,106.722222,156.880741,174.703457,904.062623,21.24679,81.133678,893.226383,367.0,404.0,339.0,1057.0,416.0,110.0,757.0,455.0,366.0,644.0,117.0,482.0,1076.0,497.0,492.0,521.0,48.939228,1
70,1400,198.78,103.26,162.19,184.71,179.3116,0.7124,2.2139,209.0459,6.0,7.0,3.0,10.0,5.0,2.0,2.0,8.0,5.0,10.0,0.0,8.0,12.0,7.0,7.0,8.0,58.945771,186.225679,105.21642,158.988025,172.407654,931.470797,12.297237,63.122202,940.763941,361.0,413.0,363.0,1111.0,389.0,107.0,637.0,440.0,367.0,714.0,111.0,494.0,1143.0,461.0,473.0,516.0,46.643426,1
